cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07002,ACALA,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07012,BERRIOZÁBAL,4,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07012,BERRIOZÁBAL,2,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07015,CACAHOATÁN,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07017,CINTALAPA,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07019,COMITÁN DE DOMÍNGUEZ,2,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07027,CHIAPA DE CORZO,2,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07037,HUEHUETÁN,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07040,HUIXTLA,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07046,JIQUIPILAS,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07054,MAZATÁN,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07061,OCOZOCOAUTLA DE ESPINOSA,2,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07065,PALENQUE,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07071,VILLA COMALTITLÁN,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07075,LAS ROSAS,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07078,SAN CRISTÓBAL DE LAS CASAS,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07079,SAN FERNANDO,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07079,SAN FERNANDO,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07083,SOCOLTENANGO,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07085,SOYALÓ,3,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07086,SUCHIAPA,3,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07089,TAPACHULA,3,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,07089,TAPACHULA,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07097,TONALÁ,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07101,TUXTLA GUTIÉRREZ,3,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07102,TUXTLA CHICO,1,2026-08-09
07,CHIAPAS,2025-11,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,07108,VILLAFLORES,1,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,MUJER,07005,AMATÁN,2,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,HOMBRE,07012,BERRIOZÁBAL,5,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,MUJER,07012,BERRIOZÁBAL,1,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,HOMBRE,07015,CACAHOATÁN,1,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,HOMBRE,07019,COMITÁN DE DOMÍNGUEZ,2,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,MUJER,07019,COMITÁN DE DOMÍNGUEZ,2,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,HOMBRE,07020,LA CONCORDIA,2,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,HOMBRE,07021,COPAINALÁ,2,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,HOMBRE,07027,CHIAPA DE CORZO,3,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,MUJER,07027,CHIAPA DE CORZO,2,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,MUJER,07031,CHILÓN,1,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,MUJER,07035,FRONTERA HIDALGO,1,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,HOMBRE,07037,HUEHUETÁN,2,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,HOMBRE,07040,HUIXTLA,1,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,MUJER,07043,IXTACOMITÁN,1,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,MUJER,07056,MITONTIC,1,2026-08-09
07,CHIAPAS,2025-11,LOCALIZADA_CON_VIDA,MUJER,07059,OCOSINGO,1,2026-08-09
