cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
01,AGUASCALIENTES,2024-08,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01001,AGUASCALIENTES,4,2026-08-09
01,AGUASCALIENTES,2024-08,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01005,JESÚS MARÍA,2,2026-08-09
01,AGUASCALIENTES,2024-08,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01006,PABELLÓN DE ARTEAGA,1,2026-08-09
01,AGUASCALIENTES,2024-08,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01007,RINCÓN DE ROMOS,2,2026-08-09
01,AGUASCALIENTES,2024-08,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01011,SAN FRANCISCO DE LOS ROMO,3,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01001,AGUASCALIENTES,33,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,MUJER,01001,AGUASCALIENTES,26,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01002,ASIENTOS,1,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,MUJER,01002,ASIENTOS,2,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,MUJER,01004,COSÍO,1,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01005,JESÚS MARÍA,5,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,MUJER,01005,JESÚS MARÍA,2,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01006,PABELLÓN DE ARTEAGA,1,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01007,RINCÓN DE ROMOS,1,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01008,SAN JOSÉ DE GRACIA,1,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,MUJER,01009,TEPEZALA,1,2026-08-09
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01010,EL LLANO,1,2026-08-09
