cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
01,AGUASCALIENTES,2026-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,,SIN MUNICIPIO DE REFERENCIA,1,2026-08-09
01,AGUASCALIENTES,2026-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01001,AGUASCALIENTES,2,2026-08-09
01,AGUASCALIENTES,2026-01,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,01001,AGUASCALIENTES,1,2026-08-09
01,AGUASCALIENTES,2026-01,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01007,RINCÓN DE ROMOS,1,2026-08-09
01,AGUASCALIENTES,2026-01,LOCALIZADA_CON_VIDA,HOMBRE,01001,AGUASCALIENTES,11,2026-08-09
01,AGUASCALIENTES,2026-01,LOCALIZADA_CON_VIDA,MUJER,01001,AGUASCALIENTES,7,2026-08-09
01,AGUASCALIENTES,2026-01,LOCALIZADA_CON_VIDA,HOMBRE,01002,ASIENTOS,3,2026-08-09
01,AGUASCALIENTES,2026-01,LOCALIZADA_CON_VIDA,MUJER,01003,CALVILLO,1,2026-08-09
01,AGUASCALIENTES,2026-01,LOCALIZADA_CON_VIDA,MUJER,01005,JESÚS MARÍA,1,2026-08-09
01,AGUASCALIENTES,2026-01,LOCALIZADA_CON_VIDA,HOMBRE,01006,PABELLÓN DE ARTEAGA,2,2026-08-09
01,AGUASCALIENTES,2026-01,LOCALIZADA_CON_VIDA,MUJER,01006,PABELLÓN DE ARTEAGA,1,2026-08-09
01,AGUASCALIENTES,2026-01,LOCALIZADA_CON_VIDA,MUJER,01007,RINCÓN DE ROMOS,1,2026-08-09
01,AGUASCALIENTES,2026-01,LOCALIZADA_CON_VIDA,MUJER,01009,TEPEZALA,1,2026-08-09
01,AGUASCALIENTES,2026-01,LOCALIZADA_CON_VIDA,HOMBRE,01011,SAN FRANCISCO DE LOS ROMO,1,2026-08-09
01,AGUASCALIENTES,2026-02,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01001,AGUASCALIENTES,1,2026-08-09
01,AGUASCALIENTES,2026-02,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01006,PABELLÓN DE ARTEAGA,1,2026-08-09
01,AGUASCALIENTES,2026-02,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,01006,PABELLÓN DE ARTEAGA,1,2026-08-09
01,AGUASCALIENTES,2026-02,LOCALIZADA_CON_VIDA,HOMBRE,01001,AGUASCALIENTES,12,2026-08-09
01,AGUASCALIENTES,2026-02,LOCALIZADA_CON_VIDA,MUJER,01001,AGUASCALIENTES,6,2026-08-09
01,AGUASCALIENTES,2026-02,LOCALIZADA_CON_VIDA,MUJER,01002,ASIENTOS,1,2026-08-09
01,AGUASCALIENTES,2026-02,LOCALIZADA_CON_VIDA,HOMBRE,01003,CALVILLO,2,2026-08-09
01,AGUASCALIENTES,2026-02,LOCALIZADA_CON_VIDA,HOMBRE,01005,JESÚS MARÍA,1,2026-08-09
01,AGUASCALIENTES,2026-02,LOCALIZADA_CON_VIDA,MUJER,01005,JESÚS MARÍA,1,2026-08-09
01,AGUASCALIENTES,2026-02,LOCALIZADA_SIN_VIDA,HOMBRE,01004,COSÍO,1,2026-08-09
01,AGUASCALIENTES,2026-02,LOCALIZADA_SIN_VIDA,HOMBRE,01009,TEPEZALA,1,2026-08-09
01,AGUASCALIENTES,2026-02,LOCALIZADA_SIN_VIDA,HOMBRE,01010,EL LLANO,1,2026-08-09
01,AGUASCALIENTES,2026-03,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01001,AGUASCALIENTES,3,2026-08-09
01,AGUASCALIENTES,2026-03,LOCALIZADA_CON_VIDA,HOMBRE,01001,AGUASCALIENTES,12,2026-08-09
01,AGUASCALIENTES,2026-03,LOCALIZADA_CON_VIDA,MUJER,01001,AGUASCALIENTES,7,2026-08-09
