cve_entidad,entidad,periodo,conteo,esperado,z,bandera,maduro
01,AGUASCALIENTES,2025-07,6,7.7,-0.89,,True
01,AGUASCALIENTES,2025-08,3,12.3,-4.82,BAJO,True
01,AGUASCALIENTES,2025-09,7,9.5,-1.28,,True
01,AGUASCALIENTES,2025-10,10,4.9,2.6,ALTO,True
01,AGUASCALIENTES,2025-11,11,13.0,-1.02,,True
01,AGUASCALIENTES,2025-12,5,15.0,-5.13,BAJO,True
01,AGUASCALIENTES,2026-01,6,6.9,-0.44,,False
01,AGUASCALIENTES,2026-02,4,4.7,-0.38,,False
01,AGUASCALIENTES,2026-03,4,7.6,-1.83,,False
01,AGUASCALIENTES,2026-04,3,7.0,-2.04,BAJO,False
01,AGUASCALIENTES,2026-05,21,7.0,7.17,ALTO,False
01,AGUASCALIENTES,2026-06,24,4.5,9.97,ALTO,False
02,BAJA CALIFORNIA,2025-07,117,69.8,4.26,ALTO,True
02,BAJA CALIFORNIA,2025-08,105,68.9,3.08,ALTO,True
02,BAJA CALIFORNIA,2025-09,93,71.8,1.72,,True
02,BAJA CALIFORNIA,2025-10,97,62.7,2.7,ALTO,True
02,BAJA CALIFORNIA,2025-11,73,81.5,-0.67,,True
02,BAJA CALIFORNIA,2025-12,45,97.6,-4.13,BAJO,True
02,BAJA CALIFORNIA,2026-01,41,98.1,-4.48,BAJO,False
02,BAJA CALIFORNIA,2026-02,52,82.1,-2.36,BAJO,False
02,BAJA CALIFORNIA,2026-03,57,85.1,-2.2,BAJO,False
02,BAJA CALIFORNIA,2026-04,58,70.4,-0.98,,False
02,BAJA CALIFORNIA,2026-05,93,77.6,1.21,,False
02,BAJA CALIFORNIA,2026-06,38,99.4,-4.82,BAJO,False
03,BAJA CALIFORNIA SUR,2025-07,11,10.6,0.11,,True
03,BAJA CALIFORNIA SUR,2025-08,21,12.3,2.09,ALTO,True
03,BAJA CALIFORNIA SUR,2025-09,42,9.8,7.58,ALTO,True
03,BAJA CALIFORNIA SUR,2025-10,15,13.0,0.47,,True
03,BAJA CALIFORNIA SUR,2025-11,19,12.7,1.47,,True
03,BAJA CALIFORNIA SUR,2025-12,11,20.4,-2.19,BAJO,True
03,BAJA CALIFORNIA SUR,2026-01,18,18.3,-0.08,,False
03,BAJA CALIFORNIA SUR,2026-02,12,8.8,0.75,,False
03,BAJA CALIFORNIA SUR,2026-03,16,15.6,0.09,,False
03,BAJA CALIFORNIA SUR,2026-04,3,20.9,-4.19,BAJO,False
03,BAJA CALIFORNIA SUR,2026-05,5,13.5,-1.99,,False
03,BAJA CALIFORNIA SUR,2026-06,13,19.7,-1.56,,False
04,CAMPECHE,2025-07,2,3.2,-1.17,,True
04,CAMPECHE,2025-08,7,1.4,5.56,ALTO,True
04,CAMPECHE,2025-09,2,5.1,-3.09,BAJO,True
04,CAMPECHE,2025-10,9,6.2,2.79,ALTO,True
04,CAMPECHE,2025-11,6,2.5,3.53,ALTO,True
04,CAMPECHE,2025-12,7,3.8,3.22,ALTO,True
04,CAMPECHE,2026-01,4,2.5,1.52,,False
04,CAMPECHE,2026-02,5,3.1,1.94,,False
04,CAMPECHE,2026-03,8,4.1,3.86,ALTO,False
04,CAMPECHE,2026-04,3,3.5,-0.51,,False
04,CAMPECHE,2026-05,3,3.4,-0.36,,False
04,CAMPECHE,2026-06,6,4.9,1.13,,False
05,COAHUILA,2025-07,5,8.5,-0.75,,True
05,COAHUILA,2025-08,13,11.1,0.41,,True
05,COAHUILA,2025-09,2,6.2,-0.91,,True
05,COAHUILA,2025-10,7,4.9,0.44,,True
05,COAHUILA,2025-11,3,4.6,-0.36,,True
05,COAHUILA,2025-12,2,3.4,-0.31,,True
05,COAHUILA,2026-01,6,3.2,0.62,,False
05,COAHUILA,2026-02,2,4.7,-0.6,,False
05,COAHUILA,2026-03,2,3.7,-0.37,,False
05,COAHUILA,2026-04,4,4.0,0.0,,False
05,COAHUILA,2026-05,0,7.7,-1.72,,False
05,COAHUILA,2026-06,2,5.3,-0.75,,False
06,COLIMA,2025-07,3,4.9,-0.38,,True
06,COLIMA,2025-08,4,3.6,0.07,,True
06,COLIMA,2025-09,8,3.1,1.05,,True
06,COLIMA,2025-10,2,3.8,-0.38,,True
06,COLIMA,2025-11,2,2.5,-0.1,,True
06,COLIMA,2025-12,2,2.2,-0.05,,True
06,COLIMA,2026-01,4,3.5,0.1,,False
06,COLIMA,2026-02,3,3.1,-0.02,,False
06,COLIMA,2026-03,3,3.7,-0.14,,False
06,COLIMA,2026-04,1,5.1,-0.86,,False
06,COLIMA,2026-05,0,3.9,-0.81,,False
06,COLIMA,2026-06,1,2.5,-0.31,,False
07,CHIAPAS,2025-07,37,59.4,-5.04,BAJO,True
07,CHIAPAS,2025-08,37,38.6,-0.37,,True
07,CHIAPAS,2025-09,53,42.6,2.35,ALTO,True
07,CHIAPAS,2025-10,39,33.0,1.35,,True
07,CHIAPAS,2025-11,43,34.5,1.89,,True
07,CHIAPAS,2025-12,30,31.5,-0.33,,True
07,CHIAPAS,2026-01,33,25.2,1.75,,False
07,CHIAPAS,2026-02,36,16.2,4.42,ALTO,False
07,CHIAPAS,2026-03,47,23.9,5.16,ALTO,False
07,CHIAPAS,2026-04,44,31.7,2.75,ALTO,False
07,CHIAPAS,2026-05,29,30.1,-0.24,,False
07,CHIAPAS,2026-06,30,36.7,-1.5,,False
08,CHIHUAHUA,2025-07,16,16.8,-0.11,,True
08,CHIHUAHUA,2025-08,14,18.0,-0.58,,True
08,CHIHUAHUA,2025-09,10,14.6,-0.64,,True
08,CHIHUAHUA,2025-10,14,16.2,-0.32,,True
08,CHIHUAHUA,2025-11,14,10.5,0.51,,True
08,CHIHUAHUA,2025-12,7,12.2,-0.76,,True
08,CHIHUAHUA,2026-01,2,11.0,-1.3,,False
08,CHIHUAHUA,2026-02,6,9.6,-0.52,,False
08,CHIHUAHUA,2026-03,12,12.5,-0.08,,False
08,CHIHUAHUA,2026-04,4,11.3,-1.06,,False
08,CHIHUAHUA,2026-05,5,9.2,-0.61,,False
08,CHIHUAHUA,2026-06,1,12.0,-1.58,,False
09,CIUDAD DE MEXICO,2025-07,43,64.7,-1.86,,True
09,CIUDAD DE MEXICO,2025-08,64,71.5,-0.64,,True
09,CIUDAD DE MEXICO,2025-09,89,76.8,1.02,,True
09,CIUDAD DE MEXICO,2025-10,98,67.6,2.52,ALTO,True
09,CIUDAD DE MEXICO,2025-11,96,65.4,2.44,ALTO,True
09,CIUDAD DE MEXICO,2025-12,66,55.7,0.82,,True
09,CIUDAD DE MEXICO,2026-01,61,48.2,1.02,,False
09,CIUDAD DE MEXICO,2026-02,88,45.9,3.35,ALTO,False
09,CIUDAD DE MEXICO,2026-03,98,57.3,3.24,ALTO,False
09,CIUDAD DE MEXICO,2026-04,91,58.6,2.58,ALTO,False
09,CIUDAD DE MEXICO,2026-05,102,79.1,1.82,,False
09,CIUDAD DE MEXICO,2026-06,116,85.8,2.4,ALTO,False
10,DURANGO,2025-07,5,10.4,-2.19,BAJO,True
10,DURANGO,2025-08,8,13.8,-2.32,BAJO,True
10,DURANGO,2025-09,4,10.1,-2.41,BAJO,True
10,DURANGO,2025-10,4,17.6,-5.32,BAJO,True
10,DURANGO,2025-11,12,11.2,0.3,,True
10,DURANGO,2025-12,6,6.0,-0.01,,True
10,DURANGO,2026-01,7,9.6,-1.03,,False
10,DURANGO,2026-02,8,7.2,0.3,,False
10,DURANGO,2026-03,14,5.8,3.27,ALTO,False
10,DURANGO,2026-04,9,6.1,1.18,,False
10,DURANGO,2026-05,10,9.9,0.03,,False
10,DURANGO,2026-06,14,7.2,2.72,ALTO,False
11,GUANAJUATO,2025-07,70,51.5,1.74,,True
11,GUANAJUATO,2025-08,78,71.0,0.67,,True
11,GUANAJUATO,2025-09,75,61.4,1.23,,True
11,GUANAJUATO,2025-10,86,69.5,1.49,,True
11,GUANAJUATO,2025-11,80,73.0,0.64,,True
11,GUANAJUATO,2025-12,65,59.1,0.55,,True
11,GUANAJUATO,2026-01,34,77.9,-4.06,BAJO,False
11,GUANAJUATO,2026-02,52,60.9,-0.82,,False
11,GUANAJUATO,2026-03,52,72.9,-1.93,,False
11,GUANAJUATO,2026-04,36,58.0,-2.04,BAJO,False
11,GUANAJUATO,2026-05,51,58.3,-0.67,,False
11,GUANAJUATO,2026-06,18,56.4,-3.55,BAJO,False
12,GUERRERO,2025-07,24,26.2,-0.33,,True
12,GUERRERO,2025-08,16,25.7,-1.41,,True
12,GUERRERO,2025-09,18,21.3,-0.49,,True
12,GUERRERO,2025-10,19,20.9,-0.28,,True
12,GUERRERO,2025-11,25,16.3,1.28,,True
12,GUERRERO,2025-12,21,15.4,0.82,,True
12,GUERRERO,2026-01,7,15.9,-1.31,,False
12,GUERRERO,2026-02,14,12.4,0.23,,False
12,GUERRERO,2026-03,22,15.0,1.03,,False
12,GUERRERO,2026-04,20,15.9,0.6,,False
12,GUERRERO,2026-05,15,24.6,-1.41,,False
12,GUERRERO,2026-06,17,18.2,-0.17,,False
13,HIDALGO,2025-07,18,15.7,0.5,,True
13,HIDALGO,2025-08,42,16.4,5.49,ALTO,True
13,HIDALGO,2025-09,29,17.4,2.48,ALTO,True
13,HIDALGO,2025-10,51,14.0,7.98,ALTO,True
13,HIDALGO,2025-11,18,28.6,-2.25,BAJO,True
13,HIDALGO,2025-12,15,16.7,-0.36,,True
13,HIDALGO,2026-01,11,16.4,-1.12,,False
13,HIDALGO,2026-02,16,17.1,-0.24,,False
13,HIDALGO,2026-03,19,17.2,0.39,,False
13,HIDALGO,2026-04,7,23.1,-3.36,BAJO,False
13,HIDALGO,2026-05,11,26.2,-3.18,BAJO,False
13,HIDALGO,2026-06,18,18.2,-0.04,,False
14,JALISCO,2025-07,71,40.9,1.41,,True
14,JALISCO,2025-08,33,51.3,-0.84,,True
14,JALISCO,2025-09,41,45.7,-0.22,,True
14,JALISCO,2025-10,34,40.3,-0.3,,True
14,JALISCO,2025-11,26,42.1,-0.75,,True
14,JALISCO,2025-12,18,46.6,-1.32,,True
14,JALISCO,2026-01,27,61.8,-1.61,,False
14,JALISCO,2026-02,30,55.2,-1.17,,False
14,JALISCO,2026-03,54,51.8,0.1,,False
14,JALISCO,2026-04,52,42.7,0.43,,False
14,JALISCO,2026-05,42,42.6,-0.03,,False
14,JALISCO,2026-06,25,39.0,-0.65,,False
