cve_entidad,entidad,periodo,categoria,sexo,cve_municipio,municipio,conteo,consultado_en
01,AGUASCALIENTES,2024-07,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01001,AGUASCALIENTES,5,2026-07-20
01,AGUASCALIENTES,2024-07,DESAPARECIDA_O_NO_LOCALIZADA,MUJER,01007,RINCÓN DE ROMOS,1,2026-07-20
01,AGUASCALIENTES,2024-07,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01011,SAN FRANCISCO DE LOS ROMO,2,2026-07-20
01,AGUASCALIENTES,2024-07,LOCALIZADA_CON_VIDA,HOMBRE,01001,AGUASCALIENTES,41,2026-07-20
01,AGUASCALIENTES,2024-07,LOCALIZADA_CON_VIDA,MUJER,01001,AGUASCALIENTES,19,2026-07-20
01,AGUASCALIENTES,2024-07,LOCALIZADA_CON_VIDA,MUJER,01002,ASIENTOS,1,2026-07-20
01,AGUASCALIENTES,2024-07,LOCALIZADA_CON_VIDA,HOMBRE,01005,JESÚS MARÍA,5,2026-07-20
01,AGUASCALIENTES,2024-07,LOCALIZADA_CON_VIDA,MUJER,01006,PABELLÓN DE ARTEAGA,2,2026-07-20
01,AGUASCALIENTES,2024-07,LOCALIZADA_CON_VIDA,MUJER,01007,RINCÓN DE ROMOS,2,2026-07-20
01,AGUASCALIENTES,2024-07,LOCALIZADA_CON_VIDA,HOMBRE,01010,EL LLANO,1,2026-07-20
01,AGUASCALIENTES,2024-07,LOCALIZADA_CON_VIDA,HOMBRE,01011,SAN FRANCISCO DE LOS ROMO,4,2026-07-20
01,AGUASCALIENTES,2024-07,LOCALIZADA_CON_VIDA,MUJER,01011,SAN FRANCISCO DE LOS ROMO,1,2026-07-20
01,AGUASCALIENTES,2024-07,LOCALIZADA_SIN_VIDA,HOMBRE,01001,AGUASCALIENTES,1,2026-07-20
01,AGUASCALIENTES,2024-08,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01001,AGUASCALIENTES,4,2026-07-20
01,AGUASCALIENTES,2024-08,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01005,JESÚS MARÍA,2,2026-07-20
01,AGUASCALIENTES,2024-08,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01006,PABELLÓN DE ARTEAGA,1,2026-07-20
01,AGUASCALIENTES,2024-08,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01007,RINCÓN DE ROMOS,2,2026-07-20
01,AGUASCALIENTES,2024-08,DESAPARECIDA_O_NO_LOCALIZADA,HOMBRE,01011,SAN FRANCISCO DE LOS ROMO,3,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01001,AGUASCALIENTES,33,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,MUJER,01001,AGUASCALIENTES,26,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01002,ASIENTOS,1,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,MUJER,01002,ASIENTOS,2,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,MUJER,01004,COSÍO,1,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01005,JESÚS MARÍA,5,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,MUJER,01005,JESÚS MARÍA,2,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01006,PABELLÓN DE ARTEAGA,1,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01007,RINCÓN DE ROMOS,1,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01008,SAN JOSÉ DE GRACIA,1,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,MUJER,01009,TEPEZALA,1,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01010,EL LLANO,1,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_CON_VIDA,HOMBRE,01011,SAN FRANCISCO DE LOS ROMO,6,2026-07-20
01,AGUASCALIENTES,2024-08,LOCALIZADA_SIN_VIDA,HOMBRE,01001,AGUASCALIENTES,3,2026-07-20
